id,objet,variable,valeur,operateur,date,annotations,fichier,methode,groupe_variables,heure,commentaire,code,type,parent,surface,cepage,clone_cepage,portegreffe,clone_portegreffe,date_debut,date_fin,densite_plantation,orientation,entre_rangs,entre_ceps,mode_conduite,systeme_taille,nb_rangs,nb_souches,piquets,geometry,description,surgreffage,rang,position_rang,groupeAccess,nom,region,type_sol,cadastre,profondeur_sol,adresse,label,systeme_irrigation,date_install_si
93049,85-RUN-3328-306-N-R10B5,MiFlowering,1,emmanuelle.zumstein,2016-06-02,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3328-306-N-R10B5,sous-parcelle,85-RUN-3328-306-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93050,85-RUN-Merlot-R2B3,MiFlowering,1,emmanuelle.zumstein,2016-06-02,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-Merlot-R2B3,sous-parcelle,85-RUN-Merlot,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93051,85-RUN-3160-27-4-N-R4B2,MiFlowering,1,emmanuelle.zumstein,2016-06-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3160-27-4-N-R4B2,sous-parcelle,85-RUN-3160-27-4-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93052,85-RUN-3161-22-4-N-R4B3,MiFlowering,1,emmanuelle.zumstein,2016-06-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3161-22-4-N-R4B3,sous-parcelle,85-RUN-3161-22-4-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93053,85-RUN-3294-57-N-R10B7,MiFlowering,1,emmanuelle.zumstein,2016-06-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3294-57-N-R10B7,sous-parcelle,85-RUN-3294-57-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93054,85-RUN-3328-168-N-R10B6,MiFlowering,1,emmanuelle.zumstein,2016-06-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3328-168-N-R10B6,sous-parcelle,85-RUN-3328-168-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93055,85-RUN-3347-330-B-R12B5,MiFlowering,1,emmanuelle.zumstein,2016-06-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-330-B-R12B5,sous-parcelle,85-RUN-3347-330-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93056,85-RUN-3347-431-B-R11B7,MiFlowering,1,emmanuelle.zumstein,2016-06-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-431-B-R11B7,sous-parcelle,85-RUN-3347-431-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93057,85-RUN-CabernetSauvignon-R3B1,MiFlowering,1,emmanuelle.zumstein,2016-06-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-CabernetSauvignon-R3B1,sous-parcelle,85-RUN-CabernetSauvignon,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93058,85-RUN-Marselan-R2B2,MiFlowering,1,emmanuelle.zumstein,2016-06-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-Marselan-R2B2,sous-parcelle,85-RUN-Marselan,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93059,85-RUN-Syrah-R2B1,MiFlowering,1,emmanuelle.zumstein,2016-06-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-Syrah-R2B1,sous-parcelle,85-RUN-Syrah,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93060,85-RUN-3322-226-N-R11B2,MiFlowering,1,emmanuelle.zumstein,2016-06-04,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3322-226-N-R11B2,sous-parcelle,85-RUN-3322-226-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93061,85-RUN-3322-285-N-R11B3,MiFlowering,1,emmanuelle.zumstein,2016-06-04,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3322-285-N-R11B3,sous-parcelle,85-RUN-3322-285-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93062,85-RUN-3322-343-N-R11B4,MiFlowering,1,emmanuelle.zumstein,2016-06-04,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3322-343-N-R11B4,sous-parcelle,85-RUN-3322-343-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93063,85-RUN-3347-320-B-R12B3,MiFlowering,1,emmanuelle.zumstein,2016-06-04,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-320-B-R12B3,sous-parcelle,85-RUN-3347-320-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93064,85-RUN-3347-368-B-R12B2,MiFlowering,1,emmanuelle.zumstein,2016-06-04,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-368-B-R12B2,sous-parcelle,85-RUN-3347-368-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93065,85-RUN-3084-2-46-N-R4B1,MiFlowering,1,emmanuelle.zumstein,2016-06-05,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3084-2-46-N-R4B1,sous-parcelle,85-RUN-3084-2-46-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93066,85-RUN-3180-16-8-N-R5B1,MiFlowering,1,emmanuelle.zumstein,2016-06-05,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3180-16-8-N-R5B1,sous-parcelle,85-RUN-3180-16-8-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93067,85-RUN-3322-178-N-R10B3,MiFlowering,1,emmanuelle.zumstein,2016-06-05,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3322-178-N-R10B3,sous-parcelle,85-RUN-3322-178-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93068,85-RUN-3347-364-B-R11B6,MiFlowering,1,emmanuelle.zumstein,2016-06-05,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-364-B-R11B6,sous-parcelle,85-RUN-3347-364-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93069,85-RUN-3322-339-N-R10B2,MiFlowering,1,emmanuelle.zumstein,2016-06-06,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3322-339-N-R10B2,sous-parcelle,85-RUN-3322-339-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93072,85-RUN-3328-177-N-R10B4,MiFlowering,1,emmanuelle.zumstein,2016-06-07,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3328-177-N-R10B4,sous-parcelle,85-RUN-3328-177-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93073,85-RUN-3347-396-B-R12B4,MiFlowering,1,emmanuelle.zumstein,2016-06-07,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-396-B-R12B4,sous-parcelle,85-RUN-3347-396-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93074,85-RUN-Syrah-R2B1,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-07-27,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-Syrah-R2B1,sous-parcelle,85-RUN-Syrah,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93075,85-RUN-3161-22-4-N-R4B3,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-07-28,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3161-22-4-N-R4B3,sous-parcelle,85-RUN-3161-22-4-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93076,85-RUN-3322-226-N-R11B2,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-07-29,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3322-226-N-R11B2,sous-parcelle,85-RUN-3322-226-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93077,85-RUN-3328-168-N-R10B6,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-07-29,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3328-168-N-R10B6,sous-parcelle,85-RUN-3328-168-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93078,85-RUN-3328-306-N-R10B5,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-07-29,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3328-306-N-R10B5,sous-parcelle,85-RUN-3328-306-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93079,85-RUN-3160-27-4-N-R4B2,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-07-30,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3160-27-4-N-R4B2,sous-parcelle,85-RUN-3160-27-4-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93080,85-RUN-3180-16-8-N-R5B1,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-07-30,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3180-16-8-N-R5B1,sous-parcelle,85-RUN-3180-16-8-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93081,85-RUN-Merlot-R2B3,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-07-30,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-Merlot-R2B3,sous-parcelle,85-RUN-Merlot,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93082,85-RUN-3322-343-N-R11B4,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-07-31,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3322-343-N-R11B4,sous-parcelle,85-RUN-3322-343-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93083,85-RUN-Marselan-R2B2,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-07-31,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-Marselan-R2B2,sous-parcelle,85-RUN-Marselan,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93084,85-RUN-3322-285-N-R11B3,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-02,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3322-285-N-R11B3,sous-parcelle,85-RUN-3322-285-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93085,85-RUN-3294-57-N-R10B7,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3294-57-N-R10B7,sous-parcelle,85-RUN-3294-57-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93086,85-RUN-3322-178-N-R10B3,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-03,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3322-178-N-R10B3,sous-parcelle,85-RUN-3322-178-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93088,85-RUN-3084-2-46-N-R4B1,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-04,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3084-2-46-N-R4B1,sous-parcelle,85-RUN-3084-2-46-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93089,85-RUN-3328-177-N-R10B4,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-05,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3328-177-N-R10B4,sous-parcelle,85-RUN-3328-177-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93090,85-RUN-3347-330-B-R12B5,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-05,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-330-B-R12B5,sous-parcelle,85-RUN-3347-330-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93091,85-RUN-3347-431-B-R11B7,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-05,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-431-B-R11B7,sous-parcelle,85-RUN-3347-431-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93092,85-RUN-3347-342-B-R13B2,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-06,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-342-B-R13B2,sous-parcelle,85-RUN-3347-342-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93093,85-RUN-3347-365-B-R11B5,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-06,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-365-B-R11B5,sous-parcelle,85-RUN-3347-365-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93094,85-RUN-3347-320-B-R12B3,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-07,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-320-B-R12B3,sous-parcelle,85-RUN-3347-320-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93095,85-RUN-3347-396-B-R12B4,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-07,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-396-B-R12B4,sous-parcelle,85-RUN-3347-396-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93096,85-RUN-3322-339-N-R10B2,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-08,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3322-339-N-R10B2,sous-parcelle,85-RUN-3322-339-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93097,85-RUN-3347-368-B-R12B2,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-08,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-368-B-R12B2,sous-parcelle,85-RUN-3347-368-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93098,85-RUN-3347-364-B-R11B6,MiVeraisonRamollissement,1,emmanuelle.zumstein,2016-08-10,\N,\N,Calcul,Phenologie,\N,NA,85-RUN-3347-364-B-R11B6,sous-parcelle,85-RUN-3347-364-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93100,85-RUN-3328-306-N-R10B5,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-18,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3328-306-N-R10B5,sous-parcelle,85-RUN-3328-306-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93101,85-RUN-3160-27-4-N-R4B2,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-21,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3160-27-4-N-R4B2,sous-parcelle,85-RUN-3160-27-4-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93102,85-RUN-3161-22-4-N-R4B3,VeraisonRamollissement,8,emmanuelle.zumstein,2016-07-21,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3161-22-4-N-R4B3,sous-parcelle,85-RUN-3161-22-4-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93103,85-RUN-3180-16-8-N-R5B1,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-21,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3180-16-8-N-R5B1,sous-parcelle,85-RUN-3180-16-8-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93104,85-RUN-3322-178-N-R10B3,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-21,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3322-178-N-R10B3,sous-parcelle,85-RUN-3322-178-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93105,85-RUN-3322-226-N-R11B2,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-21,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3322-226-N-R11B2,sous-parcelle,85-RUN-3322-226-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93106,85-RUN-3328-168-N-R10B6,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-21,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3328-168-N-R10B6,sous-parcelle,85-RUN-3328-168-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93107,85-RUN-3328-306-N-R10B5,VeraisonRamollissement,8,emmanuelle.zumstein,2016-07-21,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3328-306-N-R10B5,sous-parcelle,85-RUN-3328-306-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93108,85-RUN-CabernetSauvignon-R3B1,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-21,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-CabernetSauvignon-R3B1,sous-parcelle,85-RUN-CabernetSauvignon,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93109,85-RUN-Merlot-R2B3,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-21,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-Merlot-R2B3,sous-parcelle,85-RUN-Merlot,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93110,85-RUN-Syrah-R2B1,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-21,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-Syrah-R2B1,sous-parcelle,85-RUN-Syrah,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93111,85-RUN-3084-2-46-N-R4B1,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-25,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3084-2-46-N-R4B1,sous-parcelle,85-RUN-3084-2-46-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93112,85-RUN-3160-27-4-N-R4B2,VeraisonRamollissement,10,emmanuelle.zumstein,2016-07-25,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3160-27-4-N-R4B2,sous-parcelle,85-RUN-3160-27-4-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93113,85-RUN-3161-22-4-N-R4B3,VeraisonRamollissement,12,emmanuelle.zumstein,2016-07-25,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3161-22-4-N-R4B3,sous-parcelle,85-RUN-3161-22-4-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93114,85-RUN-3180-16-8-N-R5B1,VeraisonRamollissement,12,emmanuelle.zumstein,2016-07-25,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3180-16-8-N-R5B1,sous-parcelle,85-RUN-3180-16-8-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93115,85-RUN-3294-57-N-R10B7,VeraisonRamollissement,0,emmanuelle.zumstein,2016-07-25,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3294-57-N-R10B7,sous-parcelle,85-RUN-3294-57-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93116,85-RUN-3322-178-N-R10B3,VeraisonRamollissement,8,emmanuelle.zumstein,2016-07-25,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3322-178-N-R10B3,sous-parcelle,85-RUN-3322-178-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
93117,85-RUN-3322-226-N-R11B2,VeraisonRamollissement,18,emmanuelle.zumstein,2016-07-25,\N,\N,Calcul,VeraisonRamollissement,\N,NA,85-RUN-3322-226-N-R11B2,sous-parcelle,85-RUN-3322-226-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
